Human Symbol peak_snp trait
49 FRMPD3 14:11581401 Dark_zone_entry
52 GRIA3 14:11581401 Dark_zone_entry
54 HDAC3 14:11581401 Dark_zone_entry
56 HSPA9 14:11581401 Dark_zone_entry
72 MAGT1 14:11581401 Dark_zone_entry
84 MYOT 14:11581401 Dark_zone_entry
110 PRPS1 14:11581401 Dark_zone_entry
141 THOC2 14:11581401 Dark_zone_entry
159 ZNF711 14:11581401 Dark_zone_entry
7 ANXA5 14:46314911 LDCI
13 BBS7 14:46314911 LDCI
14 C1QTNF2 14:46314911 LDCI
15 CABP2 14:46314911 LDCI
23 CCNA2 14:46314911 LDCI
44 ELF2 14:46314911 LDCI
78 MGST2 14:46314911 LDCI
85 NAA15 14:46314911 LDCI
90 NOCT 14:46314911 LDCI
114 RAB33B 14:46314911 LDCI
131 SETD7 14:46314911 LDCI
133 SLU7 14:46314911 LDCI
144 TMEM33 14:46314911 LDCI
70 LRFN5 17:13723952 Dark_zone_entry
34 DNAJC27 17:33116150 LDCI
41 EFR3B 17:33116150 LDCI
105 POMC 17:33116150 LDCI
135 SNX9 17:33116150 LDCI
30 COLEC11 17:36400200 Trial4_LDCI
36 DNMT3A 17:36400200 Trial4_LDCI
37 DPYSL5 17:36400200 Trial4_LDCI
57 HTR1B 17:36400200 Trial4_LDCI
58 IMPG1 17:36400200 Trial4_LDCI
76 MAPRE3 17:36400200 Trial4_LDCI
82 MYO6 17:36400200 Trial4_LDCI
130 SENP6 17:36400200 Trial4_LDCI
3 ACSM3 2:44880680 LDCI
5 ALG3 2:44880680 LDCI
8 ARHGAP12 2:44880680 LDCI
11 ATP1A2 2:44880680 LDCI
16 CADM3 2:44880680 LDCI
18 CAMK2N1 2:44880680 LDCI
20 CAPN10 2:44880680 LDCI
29 CHRNG 2:44880680 LDCI
40 ECE2 2:44880680 LDCI
43 EIF4E2 2:44880680 LDCI
45 EPC1 2:44880680 LDCI
59 ITGB1 2:44880680 LDCI
62 KCNAB1 2:44880680 LDCI
64 KIF5B 2:44880680 LDCI
65 KIRREL1 2:44880680 LDCI
66 KLHL24 2:44880680 LDCI
68 LIG1 2:44880680 LDCI
73 MAP6D1 2:44880680 LDCI
79 MPZ 2:44880680 LDCI
80 MUL1 2:44880680 LDCI
87 NCAPD2 2:44880680 LDCI
93 NRP1 2:44880680 LDCI
96 PASK 2:44880680 LDCI
99 PIP4P1 2:44880680 LDCI
112 PRSS56 2:44880680 LDCI
129 SDHC 2:44880680 LDCI
151 VWA5B2 2:44880680 LDCI
156 YEATS2 2:44880680 LDCI
158 ZEB1 2:44880680 LDCI
2 ACSM3 2:45038809 Dark_zone_entry_duration
6 ALG3 2:45038809 Dark_zone_entry_duration
17 CAMK2N1 2:45038809 Dark_zone_entry_duration
19 CAPN10 2:45038809 Dark_zone_entry_duration
28 CHRNG 2:45038809 Dark_zone_entry_duration
39 ECE2 2:45038809 Dark_zone_entry_duration
42 EIF4E2 2:45038809 Dark_zone_entry_duration
