"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019866","CC","GO:0019866","organelle inner membrane","3/13","315/18602",0.00121271188401432,0.0330144435658215,0.00921993053395659,"p2rx2/chchd6a/sdhc",3
"GO:0140534","CC","GO:0140534","endoplasmic reticulum protein-containing complex","2/13","79/18602",0.00134752830880904,0.0330144435658215,0.00921993053395659,"magt1/pigc",2
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","2/13","119/18602",0.00302274141009155,0.0477405240250207,0.0133324771713269,"chchd6a/sdhc",2
"GO:0005635","CC","GO:0005635","nuclear envelope","2/13","150/18602",0.00475277468356373,0.0477405240250207,0.0133324771713269,"p2rx2/mgst2",2
"GO:0061617","CC","GO:0061617","MICOS complex","1/13","10/18602",0.00696823973535454,0.0477405240250207,0.0133324771713269,"chchd6a",1
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","2/13","203/18602",0.00853996038495487,0.0477405240250207,0.0133324771713269,"chchd6a/sdhc",2
"GO:0016581","CC","GO:0016581","NuRD complex","1/13","13/18602",0.00904995474851356,0.0477405240250207,0.0133324771713269,"chd5",1
"GO:0090545","CC","GO:0090545","CHD-type complex","1/13","13/18602",0.00904995474851356,0.0477405240250207,0.0133324771713269,"chd5",1
"GO:0005639","CC","GO:0005639","integral component of nuclear inner membrane","1/13","14/18602",0.00974296408673891,0.0477405240250207,0.0133324771713269,"p2rx2",1
"GO:0031229","CC","GO:0031229","intrinsic component of nuclear inner membrane","1/13","14/18602",0.00974296408673891,0.0477405240250207,0.0133324771713269,"p2rx2",1
