"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022603","BP","GO:0022603","regulation of anatomical structure morphogenesis","4/12","350/18284",5.78582514583843e-05,0.0135388308412619,0.00651666621689171,"plxna1a/tmem33/rhogd/cdkl5",4
"GO:0050772","BP","GO:0050772","positive regulation of axonogenesis","2/12","35/18284",0.000232137602923945,0.0271600995421016,0.0130730123751906,"plxna1a/cdkl5",2
"GO:0050769","BP","GO:0050769","positive regulation of neurogenesis","2/12","60/18284",0.000684293962375545,0.0425213311377853,0.0204668575427037,"plxna1a/cdkl5",2
"GO:0051962","BP","GO:0051962","positive regulation of nervous system development","2/12","71/18284",0.000956872325573092,0.0425213311377853,0.0204668575427037,"plxna1a/cdkl5",2
"GO:0010720","BP","GO:0010720","positive regulation of cell development","2/12","73/18284",0.00101119816847617,0.0425213311377853,0.0204668575427037,"plxna1a/cdkl5",2
"GO:0008360","BP","GO:0008360","regulation of cell shape","2/12","85/18284",0.00136766292119534,0.0425213311377853,0.0204668575427037,"plxna1a/rhogd",2
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization","2/12","85/18284",0.00136766292119534,0.0425213311377853,0.0204668575427037,"plxna1a/cdkl5",2
"GO:0050770","BP","GO:0050770","regulation of axonogenesis","2/12","90/18284",0.00153151664945482,0.0425213311377853,0.0204668575427037,"plxna1a/cdkl5",2
"GO:0022604","BP","GO:0022604","regulation of cell morphogenesis","2/12","105/18284",0.00207652425518128,0.0425213311377853,0.0204668575427037,"plxna1a/rhogd",2
"GO:2000026","BP","GO:2000026","regulation of multicellular organismal development","3/12","408/18284",0.00208862023612042,0.0425213311377853,0.0204668575427037,"plxna1a/tmem33/cdkl5",3
"GO:0001558","BP","GO:0001558","regulation of cell growth","2/12","106/18284",0.00211568603174009,0.0425213311377853,0.0204668575427037,"mul1a/cdkl5",2
"GO:0007409","BP","GO:0007409","axonogenesis","3/12","425/18284",0.00234653342709389,0.0425213311377853,0.0204668575427037,"plxna1a/rhogd/cdkl5",3
"GO:0045595","BP","GO:0045595","regulation of cell differentiation","3/12","426/18284",0.00236229617432141,0.0425213311377853,0.0204668575427037,"pomca/plxna1a/cdkl5",3
"GO:0061564","BP","GO:0061564","axon development","3/12","455/18284",0.00284870127062216,0.0455524679748226,0.0219258392861269,"plxna1a/rhogd/cdkl5",3
"GO:0048667","BP","GO:0048667","cell morphogenesis involved in neuron differentiation","3/12","468/18284",0.00308551456203298,0.0455524679748226,0.0219258392861269,"plxna1a/rhogd/cdkl5",3
"GO:0048812","BP","GO:0048812","neuron projection morphogenesis","3/12","487/18284",0.00345312401306287,0.0455524679748226,0.0219258392861269,"plxna1a/rhogd/cdkl5",3
"GO:0120039","BP","GO:0120039","plasma membrane bounded cell projection morphogenesis","3/12","488/18284",0.00347318930625389,0.0455524679748226,0.0219258392861269,"plxna1a/rhogd/cdkl5",3
"GO:0048858","BP","GO:0048858","cell projection morphogenesis","3/12","492/18284",0.00355417522073549,0.0455524679748226,0.0219258392861269,"plxna1a/rhogd/cdkl5",3
"GO:0032990","BP","GO:0032990","cell part morphogenesis","3/12","499/18284",0.00369870466462235,0.0455524679748226,0.0219258392861269,"plxna1a/rhogd/cdkl5",3
