"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903670","BP","GO:1903670","regulation of sprouting angiogenesis","2/14","14/18284",4.92848310979984e-05,0.0163720554005879,0.00961559219157808,"tmem33/sars1",2
"GO:0022603","BP","GO:0022603","regulation of anatomical structure morphogenesis","4/14","350/18284",0.000113503626872299,0.0163720554005879,0.00961559219157808,"cdkl5/rhogd/tmem33/sars1",4
"GO:0016049","BP","GO:0016049","cell growth","3/14","163/18284",0.000235552865030227,0.0163720554005879,0.00961559219157808,"cdkl5/mul1a/nos1",3
"GO:0007409","BP","GO:0007409","axonogenesis","4/14","425/18284",0.000239447281898573,0.0163720554005879,0.00961559219157808,"cdkl5/rhogd/kif5ba/nos1",4
"GO:0061564","BP","GO:0061564","axon development","4/14","455/18284",0.000310696346348006,0.0163720554005879,0.00961559219157808,"cdkl5/rhogd/kif5ba/nos1",4
"GO:0048667","BP","GO:0048667","cell morphogenesis involved in neuron differentiation","4/14","468/18284",0.000345885298733525,0.0163720554005879,0.00961559219157808,"cdkl5/rhogd/kif5ba/nos1",4
"GO:0048812","BP","GO:0048812","neuron projection morphogenesis","4/14","487/18284",0.000402369345457231,0.0163720554005879,0.00961559219157808,"cdkl5/rhogd/kif5ba/nos1",4
"GO:0120039","BP","GO:0120039","plasma membrane bounded cell projection morphogenesis","4/14","488/18284",0.000405514859893556,0.0163720554005879,0.00961559219157808,"cdkl5/rhogd/kif5ba/nos1",4
"GO:0048858","BP","GO:0048858","cell projection morphogenesis","4/14","492/18284",0.000418274291212134,0.0163720554005879,0.00961559219157808,"cdkl5/rhogd/kif5ba/nos1",4
"GO:0032990","BP","GO:0032990","cell part morphogenesis","4/14","499/18284",0.000441295293816385,0.0163720554005879,0.00961559219157808,"cdkl5/rhogd/kif5ba/nos1",4
"GO:0051640","BP","GO:0051640","organelle localization","3/14","271/18284",0.00103851888917765,0.0350264098077189,0.0205716181875381,"pomca/kif5ba/mul1a",3
