,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,gene,lookup gene in the geneID column,,
GO:0010976,BP,GO:0010976,positive regulation of neuron projection development,5/101,150/18800,0.001295447,0.015175234,0.010524544,ZNF804A/PRKD1/CAPRIN2/PTK2B/NCK1,5,PARK7,269,6,This many genes are in the geneset but not in any enrichment ontologies
GO:0050808,BP,GO:0050808,synapse organization,7/101,419/18800,0.007429381,0.041561854,0.028824568,ZNF804A/NLGN4X/MEF2C/LRRN3/CAPRIN2/HSPA8/CDH1,7,F2,3,,
GO:0050807,BP,GO:0050807,regulation of synapse organization,5/101,209/18800,0.005412532,0.035357339,0.024521525,ZNF804A/MEF2C/LRRN3/CAPRIN2/HSPA8,5,ACVR2A,386,,
GO:0050803,BP,GO:0050803,regulation of synapse structure or activity,5/101,215/18800,0.006088963,0.03790137,0.026285897,ZNF804A/MEF2C/LRRN3/CAPRIN2/HSPA8,5,SATB2,81,,
GO:0022409,BP,GO:0022409,positive regulation of cell-cell adhesion,7/101,291/18800,0.00098586,0.013241117,0.009183168,ZBTB16/DPP4/PRKCZ/HSPD1/NCK1/PODXL/SOX2,7,PDGFB,84,,
GO:0050870,BP,GO:0050870,positive regulation of T cell activation,5/101,223/18800,0.007080753,0.041086826,0.02849512,ZBTB16/DPP4/PRKCZ/HSPD1/NCK1,5,ARAP3,667,,
GO:0035116,BP,GO:0035116,embryonic hindlimb morphogenesis,2/101,28/18800,0.009862941,0.04981025,0.034545113,ZBTB16/CHD7,2,MRAP2,402,,
GO:0016447,BP,GO:0016447,somatic recombination of immunoglobulin gene segments,3/101,60/18800,0.004125313,0.030379859,0.021069472,YY1/HSPD1/MLH1,3,GPER1,226,,
GO:0016445,BP,GO:0016445,somatic diversification of immunoglobulins,3/101,69/18800,0.006100395,0.03790137,0.026285897,YY1/HSPD1/MLH1,3,CYCS,357,,
GO:0002562,BP,GO:0002562,somatic diversification of immune receptors via germline recombination within a single locus,3/101,70/18800,0.006349001,0.038564303,0.026745664,YY1/HSPD1/MLH1,3,CSMD1,643,,
GO:0016444,BP,GO:0016444,somatic cell DNA recombination,3/101,70/18800,0.006349001,0.038564303,0.026745664,YY1/HSPD1/MLH1,3,CLCN3,361,,
GO:0002200,BP,GO:0002200,somatic diversification of immune receptors,3/101,80/18800,0.00916907,0.04757017,0.032991541,YY1/HSPD1/MLH1,3,APLP2,267,,
GO:0045727,BP,GO:0045727,positive regulation of translation,4/101,141/18800,0.007061069,0.041068843,0.028482648,YBX1/THBS1/PTK2B/NCK1,4,HSP90B1,336,,
GO:0034250,BP,GO:0034250,positive regulation of cellular amide metabolic process,5/101,167/18800,0.002077195,0.019733349,0.013685753,YBX1/PRKCD/THBS1/PTK2B/NCK1,5,LUZP2,#N/A,,
GO:2000765,BP,GO:2000765,regulation of cytoplasmic translation,2/101,28/18800,0.009862941,0.04981025,0.034545113,YBX1/NCK1,2,VEGFC,39,,
GO:0006417,BP,GO:0006417,regulation of translation,8/101,463/18800,0.003492234,0.027204505,0.018867255,YBX1/CNOT1/THBS1/CAPRIN2/PTK2B/PARN/NCK1/MLH1,8,G3BP1,313,,
GO:1903311,BP,GO:1903311,regulation of mRNA metabolic process,7/101,294/18800,0.001046307,0.013482256,0.009350406,YBX1/CNOT1/PRKCD/SRPK2/PARN/MLH1/HSPA8,7,TLE1,71,,
GO:0043488,BP,GO:0043488,regulation of mRNA stability,5/101,158/18800,0.001629727,0.017041037,0.011818542,YBX1/CNOT1/PRKCD/PARN/MLH1,5,TAF5,74,,
GO:0043487,BP,GO:0043487,regulation of RNA stability,5/101,170/18800,0.002244547,0.020753735,0.014393425,YBX1/CNOT1/PRKCD/PARN/MLH1,5,YBX1,14,,
GO:0061013,BP,GO:0061013,regulation of mRNA catabolic process,5/101,173/18800,0.002421526,0.021642748,0.015009986,YBX1/CNOT1/PRKCD/PARN/MLH1,5,TRIM27,60,,
GO:0006402,BP,GO:0006402,mRNA catabolic process,5/101,233/18800,0.008472984,0.045406962,0.031491282,YBX1/CNOT1/PRKCD/PARN/MLH1,5,VRK2,33,,
GO:1903313,BP,GO:1903313,positive regulation of mRNA metabolic process,5/101,124/18800,0.000550157,0.00870197,0.006035114,YBX1/CNOT1/PARN/MLH1/HSPA8,5,CUL3,174,,
GO:0000288,BP,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",4/101,63/18800,0.000366516,0.007182788,0.004981509,YBX1/CNOT1/PARN/MLH1,4,ZNF804A,2,,
