"","gene","peak_snp","rank.x","rank.y","rank.x.1","rank.y.1","rank.x.2","rank.y.2","rank.x.3","rank.y.3","rank.x.4","rank.y.4","rank.x.5","rank.y.5","rank.x.6","rank.y.6","rank.x.7","rank.y.7","rank.x.8","rank.y.8","rank.x.9","rank.y.9","rank.x.10","rank.y.10","rank.x.11","rank.y.11","rank.x.12","rank.y.12","rank.x.13","rank.y.13","rank.x.14","rank.y.14","rank.x.15","rank.y.15","rank.x.16","rank.y.16","rank.x.17","rank.y.17","rank.x.18","rank.y.18","rank.x.19","rank.y.19","rank.x.20","rank.y.20","rank.x.21","rank.y.21","rank.x.22","rank.y.22","rank.x.23","rank.y.23","rank.x.24","rank.y.24","rank.x.25","rank.y.25","rank.x.26","rank.y.26","rank.x.27","rank.y.27","rank.x.28","rank.y.28","rank.x.29","rank.y.29","rank.x.30","rank.y.30","rank.x.31","rank.y.31","rank.x.32","rank.y.32","rank.x.33","rank.y.33","rank.x.34","rank.y.34","rank.x.35","rank.y.35","rank.x.36","rank.y.36","rank.x.37","rank.y.37","rank.x.38","rank.y.38","rank.x.39","rank.y.39","rank.x.40","rank.y.40","rank.x.41","rank.y.41","rank.x.42","rank.y.42","rank.x.43","rank.y.43","rank.x.44","rank.y.44","rank.x.45","rank.y.45","rank.x.46","rank.y.46","rank.x.47","rank.y.47","rank.x.48","rank.y.48","rank.x.49","rank.y.49"
"1","ace2","11:29830387",12,13,13,12,9,13,12,12,12,10,12,8,11,15,8,12,12,12,12,12,10,15,8,13,6,10,6,12,15,12,13,7,11,13,12,13,13,9,10,14,10,14,12,12,12,9,15,8,14,11,13,13,14,5,13,14,13,12,9,15,14,10,11,15,5,10,13,10,14,14,14,6,10,14,13,11,13,11,13,15,9,11,13,14,15,12,11,9,9,12,5,11,7,7,13,6,9,14,14,13
"2","acsm3","2:44880680",29,30,26,25,27,28,27,25,29,24,26,29,26,28,27,26,28,27,27,30,29,29,27,26,29,25,27,29,29,29,29,26,29,29,29,29,29,29,27,25,27,25,28,27,26,29,28,28,29,27,28,28,29,29,30,27,28,28,30,27,28,28,27,28,30,29,27,27,30,27,27,26,28,28,29,29,28,26,29,29,27,28,28,28,27,29,26,27,29,28,28,29,26,27,29,27,30,29,27,26
"3","acsm3","2:45038809",10,11,10,11,11,8,11,11,11,11,10,10,10,11,11,11,10,11,10,9,10,11,11,10,10,11,11,10,11,10,11,11,11,11,10,11,11,10,11,11,10,11,10,10,11,11,10,10,10,11,10,11,10,11,10,11,11,11,10,11,11,11,11,11,11,10,11,11,11,10,11,11,11,10,10,11,11,10,10,11,11,10,11,10,11,11,10,9,10,11,10,10,11,11,11,11,10,10,10,10
"4","alg3","2:44880680",25,27,28,27,26,29,28,27,28,27,30,26,27,27,28,27,27,29,29,25,27,28,28,29,25,29,28,27,25,27,30,27,28,28,27,26,28,27,28,28,29,29,27,28,29,26,27,29,27,28,26,27,27,26,28,26,27,24,27,30,27,27,29,27,24,28,30,28,25,29,26,29,26,27,26,27,25,28,30,28,28,25,27,29,30,28,27,28,24,29,25,27,29,25,30,28,27,27,28,29
"5","alg3","2:45038809",11,9,11,10,10,11,10,10,10,10,11,11,11,9,10,10,11,10,11,11,11,10,10,11,11,10,10,11,9,11,10,10,10,10,11,10,10,11,10,10,11,10,11,11,10,10,11,11,11,10,11,10,11,10,11,10,10,10,11,10,9,10,10,10,10,11,9,10,10,11,10,10,10,11,11,10,9,11,11,10,10,11,10,11,10,10,11,11,11,10,11,11,10,10,10,10,11,11,11,11
"6","anxa5a","14:46314911",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,5,5,5,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"7","arhgap12a","2:44880680",30,29,30,30,30,31,29,29,30,31,29,30,30,29,31,30,30,30,30,29,30,30,31,28,30,30,30,30,31,30,27,30,30,30,30,31,31,30,29,29,30,30,31,30,30,27,29,31,30,30,30,29,31,30,29,29,30,30,31,29,30,31,30,29,29,30,29,29,26,30,30,31,30,29,30,30,30,30,28,30,29,30,26,31,28,27,30,29,30,30,29,28,30,30,28,30,28,30,30,31
"8","arhgef10la","11:29830387",25,25,25,25,25,25,25,24,24,25,25,25,25,23,25,25,25,25,25,25,25,25,25,25,24,25,25,24,25,25,25,25,25,24,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,24,25,24,25,25,24,25,25,25,24,25,25,25,24,24,25,23,25,25,25,25,25,25,24,25,24,25,24,25,25,24,25,25,25,25,23,24,24,25,22,25,25,23,25,25,25,25,25,25,25,25
"9","atp10b","14:22461182",2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
"10","atp1a2a","2:44880680",2,7,11,12,5,4,19,2,12,15,17,3,18,7,3,6,11,12,7,7,9,19,8,12,10,15,16,9,8,10,10,14,12,9,12,4,15,16,4,16,10,10,10,6,6,8,6,9,12,17,11,8,15,11,13,10,1,8,7,13,10,17,10,16,12,6,4,10,8,9,7,14,5,16,4,9,10,5,19,6,7,8,12,14,3,6,8,7,4,11,14,4,14,8,2,1,7,2,7,12
"11","atp7a","14:22461182",3,3,4,4,3,4,3,3,3,3,3,3,3,4,3,4,3,4,4,3,3,4,3,3,3,4,3,3,3,4,3,3,4,4,4,3,4,3,4,4,3,4,3,3,4,4,3,3,3,3,3,3,4,3,4,4,4,4,3,3,4,3,2,3,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,3,2,4,3,3,3,4,3,3,3,4,4,2,3,3,4,3,3,3,3,4
"12","cabp2b","14:46314911",2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,3,2,3,1,1,2,1,1,2,1,3,3,3,1,2,2,1,1,2,2,3,1,1,1,1,1,1,3,2,1,2,2,1,1,1,2,1,1,3,2,2,2,1,2,2,1,1,3,2,1,1,2,1,2,3,1,1,2,2,2,2,1,1,2,1,1,3,1,1,1,1,2,1,1,2,1,2
"13","cadm3","2:44880680",17,13,15,13,12,17,15,18,16,8,20,13,14,13,9,18,14,15,13,1,13,13,16,20,19,9,13,19,19,19,13,16,14,14,19,14,19,11,7,14,16,12,18,17,18,13,18,16,14,15,14,11,19,20,17,5,19,10,9,16,12,15,13,10,16,13,18,19,9,11,14,12,17,21,13,8,17,7,11,9,21,10,17,16,11,10,16,18,13,17,19,17,10,17,18,20,20,9,13,13
